componet_no,group_id,length,width,material_no,material_width,materail_length
225A8210-540-005,130,841,627,110000000631,1320,4000
225A8210-550-003,131,3537,465,110000000631,1320,4000
225A8210-550-005,131,3664,592,110000000631,1320,4000
225A8210-560-003,132,652,465,110000000631,1320,4000
225A8210-560-005,132,779,592,110000000631,1320,4000
225A8210-570-003,133,465,397,110000000631,1320,4000
225A8210-570-005,133,592,524,110000000631,1320,4000
225A8210-580-003,134,364,256,110000000631,1320,4000
225A8210-590-003,135,2878,465,110000000631,1320,4000
225A8210-590-005,135,3005,592,110000000631,1320,4000
225A8210-610-003,136,389,255,110000000631,1320,4000
225A8210-610-005,136,516,382,110000000631,1320,4000
225A8210-620-003,137,302,255,110000000631,1320,4000
225A8210-620-005,137,429,382,110000000631,1320,4000
225A8210-630-003,138,365,175,110000000631,1320,4000
225A8210-630-005,138,492,302,110000000631,1320,4000
225A8210-640-003,139,365,175,110000000631,1320,4000
225A8210-640-005,139,492,302,110000000631,1320,4000
225A8210-650-003,140,495,365,110000000631,1320,4000
225A8210-650-005,140,622,492,110000000631,1320,4000
225A8210-660-003,141,265,245,110000000631,1320,4000
225A8210-660-005,141,392,372,110000000631,1320,4000
225A8210-670-003,142,2740,365,110000000631,1320,4000
225A8210-670-005,142,2867,492,110000000631,1320,4000
225A8210-680-003,143,1493,693,110000000631,1320,4000
225A8210-680-005,143,1620,820,110000000631,1320,4000
225A8210-710-003,144,1518,693,110000000631,1320,4000
225A8210-710-005,144,1645,820,110000000631,1320,4000
225A8210-720-003,145,1700,693,110000000631,1320,4000
225A8210-720-005,145,1827,820,110000000631,1320,4000
225A8210-730-003,146,608,274,110000000631,1320,4000
225A8210-740-003,147,693,558,110000000631,1320,4000
225A8210-740-005,147,820,685,110000000631,1320,4000
225A8210-750-003-0,148,608,274,110000000631,1320,4000
225A8210-750-003-1,148,608,274,110000000631,1320,4000
225A8210-760-003,149,744,471,110000000631,1320,4000
225A8210-760-005,149,871,598,110000000631,1320,4000
225A8210-770-003,150,744,408,110000000631,1320,4000
225A8210-770-005,150,871,535,110000000631,1320,4000
225A8210-780-003,151,2175,475,110000000631,1320,4000
225A8210-780-005,151,2302,602,110000000631,1320,4000
225A8210-790-003,152,2280,213,110000000631,1320,4000
225A8210-810-003,153,647,170,110000000631,1320,4000
225A8210-820-003,154,2546,222,110000000631,1320,4000
225A8210-830-003,155,2742,232,110000000631,1320,4000
225A8210-840-003,156,2765,247,110000000631,1320,4000
225A8210-850-003,157,3562,230,110000000631,1320,4000
225A8210-860-003,158,867,214,110000000631,1320,4000
225A8210-870-003,159,867,214,110000000631,1320,4000
225A8210-880-003-0,160,892,227,110000000331,1320,4000
225A8210-880-003-1,160,892,227,110000000331,1320,4000
225A8210-890-003,161,354,259,110000000631,1320,4000
225A8210-910-003,162,364,261,110000000631,1320,4000
225A8210-920-003,163,625,275,110000000631,1320,4000
225A8210-920-005,163,752,402,110000000631,1320,4000
225A8210-930-003,164,575,275,110000000631,1320,4000
225A8210-930-005,164,702,402,110000000631,1320,4000
225A8210-940-003,165,1769,279,110000000631,1320,4000
225A8220-010-003-0,166,875,390,110000000331,1320,4000
225A8220-010-003-1,166,875,390,110000000331,1320,4000
225A8220-010-005-0,166,1027,542,110000000331,1320,4000
225A8220-010-005-1,166,1027,542,110000000331,1320,4000
225A8220-020-003-0,167,875,670,110000000331,1320,4000
225A8220-020-003-1,167,875,670,110000000331,1320,4000
225A8220-020-003-2,167,875,670,110000000331,1320,4000
225A8220-020-003-3,167,875,670,110000000331,1320,4000
225A8220-020-003-4,167,875,670,110000000331,1320,4000
225A8220-020-003-5,167,875,670,110000000331,1320,4000
225A8220-020-003-6,167,875,670,110000000331,1320,4000
225A8220-020-003-7,167,875,670,110000000331,1320,4000
225A8220-020-003-8,167,875,670,110000000331,1320,4000
225A8220-020-003-9,167,875,670,110000000331,1320,4000
225A8220-020-003-10,167,875,670,110000000331,1320,4000
225A8220-020-003-11,167,875,670,110000000331,1320,4000
225A8220-020-003-12,167,875,670,110000000331,1320,4000
225A8220-020-003-13,167,875,670,110000000331,1320,4000
225A8220-020-003-14,167,875,670,110000000331,1320,4000
225A8220-020-003-15,167,875,670,110000000331,1320,4000
225A8220-020-003-16,167,875,670,110000000331,1320,4000
225A8220-020-003-17,167,875,670,110000000331,1320,4000
225A8220-020-003-18,167,875,670,110000000331,1320,4000
225A8220-020-003-19,167,875,670,110000000331,1320,4000
225A8220-020-003-20,167,875,670,110000000331,1320,4000
225A8220-020-003-21,167,875,670,110000000331,1320,4000
225A8220-020-003-22,167,875,670,110000000331,1320,4000
225A8220-020-003-23,167,875,670,110000000331,1320,4000
225A8220-020-005-0,167,1027,822,110000000331,1320,4000
225A8220-020-005-1,167,1027,822,110000000331,1320,4000
225A8220-020-005-2,167,1027,822,110000000331,1320,4000
225A8220-020-005-3,167,1027,822,110000000331,1320,4000
225A8220-020-005-4,167,1027,822,110000000331,1320,4000
225A8220-020-005-5,167,1027,822,110000000331,1320,4000
225A8220-020-005-6,167,1027,822,110000000331,1320,4000
225A8220-020-005-7,167,1027,822,110000000331,1320,4000
225A8220-020-005-8,167,1027,822,110000000331,1320,4000
225A8220-020-005-9,167,1027,822,110000000331,1320,4000
225A8220-020-005-10,167,1027,822,110000000331,1320,4000
225A8220-020-005-11,167,1027,822,110000000331,1320,4000
225A8220-020-005-12,167,1027,822,110000000331,1320,4000
225A8220-020-005-13,167,1027,822,110000000331,1320,4000
225A8220-020-005-14,167,1027,822,110000000331,1320,4000
225A8220-020-005-15,167,1027,822,110000000331,1320,4000
225A8220-020-005-16,167,1027,822,110000000331,1320,4000
